collecting all words and their counts
PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
PROGRESS: at sentence #1250000, processed 22060400 words, keeping 319349 word types
PROGRESS: at sentence #1260000, processed 22235783 words, keeping 320746 word types
PROGRESS: at sentence #1270000, processed 22398873 words, keeping 322421 word types
PROGRESS: at sentence #1280000, processed 22586097 words, keeping 323917 word types
PROGRESS: at sentence #1290000, processed 22763002 words, keeping 325436 word types
PROGRESS: at sentence #1300000, processed 22954748 words, keeping 327011 word types
PROGRESS: at sentence #1310000, processed 23120401 words, keeping 328644 word types
PROGRESS: at sentence #1320000, processed 23353724 words, keeping 331652 word types
PROGRESS: at sentence #1330000, processed 23514371 words, keeping 333107 word types
PROGRESS: at sentence #1340000, processed 23688840 words, keeping 334607 word types
PROGRESS: at sentence #1350000, processed 23858232 words, keeping 336001 word types
PROGRESS: at sentence #1360000, processed 24037999 words, keeping 337500 word types
PROGRESS: at sentence #1370000, processed 24197354 words, keeping 339324 word types
PROGRESS: at sentence #1380000, processed 24374826 words, keeping 340922 word types
PROGRESS: at sentence #1390000, processed 24558047 words, keeping 342371 word types
PROGRESS: at sentence #1400000, processed 24724243 words, keeping 343737 word types
PROGRESS: at sentence #1410000, processed 24902419 words, keeping 345275 word types
PROGRESS: at sentence #1420000, processed 25072003 words, keeping 346803 word types
PROGRESS: at sentence #1430000, processed 25231798 words, keeping 348080 word types
PROGRESS: at sentence #1440000, processed 25407200 words, keeping 349424 word types
PROGRESS: at sentence #1450000, processed 25575184 words, keeping 350803 word types
PROGRESS: at sentence #1460000, processed 25753659 words, keeping 352307 word types
PROGRESS: at sentence #1470000, processed 25933492 words, keeping 353580 word types
PROGRESS: at sentence #1480000, processed 26109467 words, keeping 354829 word types
PROGRESS: at sentence #1490000, processed 26276237 words, keeping 356087 word types
PROGRESS: at sentence #1500000, processed 26444828 words, keeping 357533 word types
PROGRESS: at sentence #1510000, processed 26627232 words, keeping 358915 word types
PROGRESS: at sentence #1520000, processed 26789592 words, keeping 360084 word types
PROGRESS: at sentence #1530000, processed 26968376 words, keeping 361297 word types
PROGRESS: at sentence #1540000, processed 27143179 words, keeping 362636 word types
PROGRESS: at sentence #1550000, processed 27318097 words, keeping 364005 word types
PROGRESS: at sentence #1560000, processed 27509735 words, keeping 365303 word types
PROGRESS: at sentence #1570000, processed 27683978 words, keeping 366521 word types
PROGRESS: at sentence #1580000, processed 27872466 words, keeping 367908 word types
PROGRESS: at sentence #1590000, processed 28067991 words, keeping 369176 word types
PROGRESS: at sentence #1600000, processed 28249557 words, keeping 370746 word types
PROGRESS: at sentence #1610000, processed 28415045 words, keeping 372203 word types
PROGRESS: at sentence #1620000, processed 28585010 words, keeping 374424 word types
PROGRESS: at sentence #1630000, processed 28758950 words, keeping 375787 word types
PROGRESS: at sentence #1640000, processed 28928501 words, keeping 377115 word types
PROGRESS: at sentence #1650000, processed 29114855 words, keeping 378590 word types
PROGRESS: at sentence #1660000, processed 29289281 words, keeping 379923 word types
PROGRESS: at sentence #1670000, processed 29464804 words, keeping 381265 word types
PROGRESS: at sentence #1680000, processed 29634630 words, keeping 382709 word types
PROGRESS: at sentence #1690000, processed 29807475 words, keeping 383796 word types
PROGRESS: at sentence #1700000, processed 29995075 words, keeping 387684 word types
PROGRESS: at sentence #1710000, processed 30165955 words, keeping 389019 word types
PROGRESS: at sentence #1720000, processed 30342184 words, keeping 390242 word types
PROGRESS: at sentence #1730000, processed 30512845 words, keeping 391361 word types
PROGRESS: at sentence #1740000, processed 30683493 words, keeping 392672 word types
PROGRESS: at sentence #1750000, processed 30853822 words, keeping 393948 word types
PROGRESS: at sentence #1760000, processed 31025574 words, keeping 395534 word types
PROGRESS: at sentence #1770000, processed 31198370 words, keeping 396839 word types
PROGRESS: at sentence #1780000, processed 31370241 words, keeping 398041 word types
PROGRESS: at sentence #1790000, processed 31542621 words, keeping 399202 word types
PROGRESS: at sentence #1800000, processed 31718088 words, keeping 404667 word types
PROGRESS: at sentence #1810000, processed 31891397 words, keeping 405999 word types
PROGRESS: at sentence #1820000, processed 32069645 words, keeping 407473 word types
PROGRESS: at sentence #1830000, processed 32241168 words, keeping 408741 word types
PROGRESS: at sentence #1840000, processed 32409572 words, keeping 409900 word types
PROGRESS: at sentence #1850000, processed 32573434 words, keeping 411137 word types
PROGRESS: at sentence #1860000, processed 32736436 words, keeping 412501 word types
PROGRESS: at sentence #1870000, processed 32914216 words, keeping 413533 word types
PROGRESS: at sentence #1880000, processed 33078731 words, keeping 414971 word types
PROGRESS: at sentence #1890000, processed 33257338 words, keeping 416111 word types
PROGRESS: at sentence #1900000, processed 33438240 words, keeping 417442 word types
PROGRESS: at sentence #1910000, processed 33606396 words, keeping 418545 word types
PROGRESS: at sentence #1920000, processed 33791005 words, keeping 419921 word types
PROGRESS: at sentence #1930000, processed 33973695 words, keeping 422509 word types
PROGRESS: at sentence #1940000, processed 34156790 words, keeping 425031 word types
PROGRESS: at sentence #1950000, processed 34344177 words, keeping 426369 word types
PROGRESS: at sentence #1960000, processed 34519580 words, keeping 427452 word types
PROGRESS: at sentence #1970000, processed 34692084 words, keeping 428671 word types
PROGRESS: at sentence #1980000, processed 34874360 words, keeping 429957 word types
PROGRESS: at sentence #1990000, processed 35047271 words, keeping 431058 word types
PROGRESS: at sentence #2000000, processed 35224478 words, keeping 432233 word types
PROGRESS: at sentence #2010000, processed 35396953 words, keeping 433298 word types
PROGRESS: at sentence #2020000, processed 35586882 words, keeping 434626 word types
PROGRESS: at sentence #2030000, processed 35776082 words, keeping 436205 word types
PROGRESS: at sentence #2040000, processed 35947233 words, keeping 437387 word types
PROGRESS: at sentence #2050000, processed 36132584 words, keeping 439457 word types
PROGRESS: at sentence #2060000, processed 36304038 words, keeping 440529 word types
PROGRESS: at sentence #2070000, processed 36481685 words, keeping 441683 word types
PROGRESS: at sentence #2080000, processed 36662744 words, keeping 442962 word types
PROGRESS: at sentence #2090000, processed 36839555 words, keeping 444130 word types
PROGRESS: at sentence #2100000, processed 37013575 words, keeping 445533 word types
PROGRESS: at sentence #2110000, processed 37180213 words, keeping 446589 word types
PROGRESS: at sentence #2120000, processed 37362711 words, keeping 447983 word types
PROGRESS: at sentence #2130000, processed 37534551 words, keeping 449263 word types
PROGRESS: at sentence #2140000, processed 37703531 words, keeping 450660 word types
PROGRESS: at sentence #2150000, processed 37871019 words, keeping 451892 word types
PROGRESS: at sentence #2160000, processed 38035453 words, keeping 452972 word types
PROGRESS: at sentence #2170000, processed 38227796 words, keeping 454230 word types
PROGRESS: at sentence #2180000, processed 38399501 words, keeping 455427 word types
PROGRESS: at sentence #2190000, processed 38586101 words, keeping 456612 word types
PROGRESS: at sentence #2200000, processed 38760313 words, keeping 457766 word types
PROGRESS: at sentence #2210000, processed 38938428 words, keeping 458925 word types
PROGRESS: at sentence #2220000, processed 39134497 words, keeping 460307 word types
PROGRESS: at sentence #2230000, processed 39309267 words, keeping 461416 word types
PROGRESS: at sentence #2240000, processed 39489955 words, keeping 462614 word types
PROGRESS: at sentence #2250000, processed 39673092 words, keeping 464102 word types
PROGRESS: at sentence #2260000, processed 39844051 words, keeping 465196 word types
PROGRESS: at sentence #2270000, processed 40010658 words, keeping 466183 word types
collected 466585 word types from a corpus of 40082031 raw words and 2274338 sentences
Loading a fresh vocabulary
min_count=0 retains 466585 unique words (100% of original 466585, drops 0)
min_count=0 leaves 40082031 word corpus (100% of original 40082031, drops 0)
deleting the raw counts dictionary of 466585 items
sample=0.001 downsamples 21 most-common words
downsampling leaves estimated 39102505 word corpus (97.6% of prior 40082031)
estimated required memory for 466585 words and 300 dimensions: 1353096500 bytes
resetting layer weights
training model with 32 workers on 466585 vocabulary and 300 features, using sg=0 hs=0 sample=0.001 negative=5 window=5
PROGRESS: at 0.34% examples, 659859 words/s, in_qsize 62, out_qsize 1
PROGRESS: at 0.79% examples, 773723 words/s, in_qsize 62, out_qsize 1
PROGRESS: at 1.21% examples, 792145 words/s, in_qsize 62, out_qsize 1
PROGRESS: at 1.60% examples, 777235 words/s, in_qsize 64, out_qsize 7
PROGRESS: at 2.04% examples, 792240 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 2.53% examples, 817545 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 3.10% examples, 854588 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 3.65% examples, 883315 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 4.19% examples, 898177 words/s, in_qsize 64, out_qsize 1
PROGRESS: at 4.73% examples, 914892 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 5.28% examples, 930109 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 5.83% examples, 939886 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 6.33% examples, 946148 words/s, in_qsize 62, out_qsize 1
PROGRESS: at 6.89% examples, 953251 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 7.41% examples, 955301 words/s, in_qsize 64, out_qsize 1
PROGRESS: at 7.97% examples, 963828 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 8.52% examples, 968739 words/s, in_qsize 62, out_qsize 1
PROGRESS: at 9.05% examples, 972606 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 9.62% examples, 979464 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 10.19% examples, 982823 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 10.73% examples, 986414 words/s, in_qsize 62, out_qsize 1
PROGRESS: at 11.27% examples, 989865 words/s, in_qsize 61, out_qsize 2
PROGRESS: at 11.79% examples, 991289 words/s, in_qsize 64, out_qsize 3
PROGRESS: at 12.35% examples, 994683 words/s, in_qsize 62, out_qsize 1
PROGRESS: at 12.92% examples, 998204 words/s, in_qsize 64, out_qsize 1
PROGRESS: at 13.48% examples, 1000513 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 14.04% examples, 1003922 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 14.59% examples, 1006133 words/s, in_qsize 62, out_qsize 1
PROGRESS: at 15.14% examples, 1007229 words/s, in_qsize 63, out_qsize 1
PROGRESS: at 15.69% examples, 1008945 words/s, in_qsize 64, out_qsize 1
PROGRESS: at 16.22% examples, 1008129 words/s, in_qsize 61, out_qsize 3
PROGRESS: at 16.78% examples, 1009739 words/s, in_qsize 63, out_qsize 3
PROGRESS: at 17.29% examples, 1009409 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 17.87% examples, 1013045 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 18.42% examples, 1014990 words/s, in_qsize 62, out_qsize 1
PROGRESS: at 18.94% examples, 1014101 words/s, in_qsize 60, out_qsize 3
PROGRESS: at 19.50% examples, 1016356 words/s, in_qsize 59, out_qsize 4
PROGRESS: at 20.07% examples, 1018635 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 20.62% examples, 1020038 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 21.16% examples, 1021039 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 21.73% examples, 1022626 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 22.27% examples, 1023295 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 22.81% examples, 1023848 words/s, in_qsize 62, out_qsize 1
PROGRESS: at 23.35% examples, 1024724 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 23.88% examples, 1024891 words/s, in_qsize 60, out_qsize 3
PROGRESS: at 24.47% examples, 1026852 words/s, in_qsize 61, out_qsize 2
PROGRESS: at 25.02% examples, 1028555 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 25.56% examples, 1028440 words/s, in_qsize 62, out_qsize 1
PROGRESS: at 26.06% examples, 1027407 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 26.47% examples, 1023360 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 26.89% examples, 1018933 words/s, in_qsize 62, out_qsize 1
PROGRESS: at 27.33% examples, 1015908 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 27.73% examples, 1011505 words/s, in_qsize 59, out_qsize 4
PROGRESS: at 28.20% examples, 1009029 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 28.64% examples, 1006408 words/s, in_qsize 61, out_qsize 2
PROGRESS: at 29.01% examples, 1001098 words/s, in_qsize 60, out_qsize 3
PROGRESS: at 29.49% examples, 999423 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 29.88% examples, 995249 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 30.34% examples, 992411 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 30.77% examples, 989737 words/s, in_qsize 58, out_qsize 5
PROGRESS: at 31.16% examples, 985799 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 31.55% examples, 983067 words/s, in_qsize 62, out_qsize 2
PROGRESS: at 32.01% examples, 981027 words/s, in_qsize 64, out_qsize 1
PROGRESS: at 32.44% examples, 978191 words/s, in_qsize 62, out_qsize 1
PROGRESS: at 32.87% examples, 975574 words/s, in_qsize 60, out_qsize 3
PROGRESS: at 33.31% examples, 973406 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 33.73% examples, 971168 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 34.15% examples, 969472 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 34.58% examples, 967139 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 34.96% examples, 963606 words/s, in_qsize 64, out_qsize 3
PROGRESS: at 35.39% examples, 961834 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 35.80% examples, 959144 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 36.25% examples, 957107 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 36.70% examples, 955811 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 37.10% examples, 953425 words/s, in_qsize 61, out_qsize 2
PROGRESS: at 37.53% examples, 951941 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 37.94% examples, 950086 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 38.38% examples, 948875 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 38.83% examples, 947433 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 39.25% examples, 945724 words/s, in_qsize 62, out_qsize 1
PROGRESS: at 39.68% examples, 944449 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 40.10% examples, 942939 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 40.53% examples, 941013 words/s, in_qsize 61, out_qsize 2
PROGRESS: at 40.95% examples, 939511 words/s, in_qsize 64, out_qsize 1
PROGRESS: at 41.39% examples, 938643 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 41.84% examples, 937650 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 42.25% examples, 935902 words/s, in_qsize 62, out_qsize 1
PROGRESS: at 42.68% examples, 934526 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 43.12% examples, 933436 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 43.52% examples, 931953 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 43.96% examples, 930625 words/s, in_qsize 62, out_qsize 1
PROGRESS: at 44.38% examples, 929438 words/s, in_qsize 60, out_qsize 3
PROGRESS: at 44.80% examples, 928095 words/s, in_qsize 62, out_qsize 1
PROGRESS: at 45.25% examples, 927572 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 45.65% examples, 925622 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 46.03% examples, 923750 words/s, in_qsize 62, out_qsize 1
PROGRESS: at 46.50% examples, 923722 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 46.90% examples, 922034 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 47.32% examples, 921316 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 47.73% examples, 920186 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 48.16% examples, 919140 words/s, in_qsize 62, out_qsize 1
PROGRESS: at 48.57% examples, 917880 words/s, in_qsize 61, out_qsize 2
PROGRESS: at 49.01% examples, 916719 words/s, in_qsize 60, out_qsize 3
PROGRESS: at 49.43% examples, 915569 words/s, in_qsize 61, out_qsize 2
PROGRESS: at 49.83% examples, 914425 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 50.28% examples, 913426 words/s, in_qsize 62, out_qsize 1
PROGRESS: at 50.69% examples, 912239 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 51.15% examples, 911842 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 51.54% examples, 910801 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 51.94% examples, 909511 words/s, in_qsize 62, out_qsize 2
PROGRESS: at 52.37% examples, 908814 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 52.78% examples, 907366 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 53.20% examples, 906399 words/s, in_qsize 59, out_qsize 4
PROGRESS: at 53.63% examples, 905770 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 54.02% examples, 904738 words/s, in_qsize 62, out_qsize 1
PROGRESS: at 54.49% examples, 904604 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 54.89% examples, 903416 words/s, in_qsize 62, out_qsize 3
PROGRESS: at 55.33% examples, 902893 words/s, in_qsize 62, out_qsize 1
PROGRESS: at 55.77% examples, 902281 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 56.18% examples, 901178 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 56.64% examples, 900616 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 57.07% examples, 899977 words/s, in_qsize 62, out_qsize 1
PROGRESS: at 57.47% examples, 899185 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 57.89% examples, 898665 words/s, in_qsize 63, out_qsize 1
PROGRESS: at 58.31% examples, 898047 words/s, in_qsize 63, out_qsize 1
PROGRESS: at 58.69% examples, 896755 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 59.14% examples, 896342 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 59.56% examples, 895749 words/s, in_qsize 62, out_qsize 1
PROGRESS: at 59.98% examples, 895066 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 60.45% examples, 894903 words/s, in_qsize 64, out_qsize 2
PROGRESS: at 60.93% examples, 895119 words/s, in_qsize 61, out_qsize 3
PROGRESS: at 61.39% examples, 895253 words/s, in_qsize 62, out_qsize 1
PROGRESS: at 61.89% examples, 895559 words/s, in_qsize 64, out_qsize 2
PROGRESS: at 62.36% examples, 895578 words/s, in_qsize 61, out_qsize 2
PROGRESS: at 62.86% examples, 895932 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 63.33% examples, 896242 words/s, in_qsize 60, out_qsize 3
PROGRESS: at 63.76% examples, 895862 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 64.24% examples, 895964 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 64.75% examples, 896663 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 65.17% examples, 896255 words/s, in_qsize 64, out_qsize 2
PROGRESS: at 65.69% examples, 896605 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 66.14% examples, 896615 words/s, in_qsize 64, out_qsize 0
PROGRESS: at 66.58% examples, 896616 words/s, in_qsize 63, out_qsize 0
PROGRESS: at 67.07% examples, 896862 words/s, in_qsize 63, out_qsize 3
