collecting all words and their counts
PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
PROGRESS: at sentence #1250000, processed 22060400 words, keeping 319349 word types
PROGRESS: at sentence #1260000, processed 22235783 words, keeping 320746 word types
PROGRESS: at sentence #1270000, processed 22398873 words, keeping 322421 word types
PROGRESS: at sentence #1280000, processed 22586097 words, keeping 323917 word types
PROGRESS: at sentence #1290000, processed 22763002 words, keeping 325436 word types
PROGRESS: at sentence #1300000, processed 22954748 words, keeping 327011 word types
PROGRESS: at sentence #1310000, processed 23120401 words, keeping 328644 word types
PROGRESS: at sentence #1320000, processed 23353724 words, keeping 331652 word types
PROGRESS: at sentence #1330000, processed 23514371 words, keeping 333107 word types
PROGRESS: at sentence #1340000, processed 23688840 words, keeping 334607 word types
PROGRESS: at sentence #1350000, processed 23858232 words, keeping 336001 word types
PROGRESS: at sentence #1360000, processed 24037999 words, keeping 337500 word types
PROGRESS: at sentence #1370000, processed 24197354 words, keeping 339324 word types
PROGRESS: at sentence #1380000, processed 24374826 words, keeping 340922 word types
PROGRESS: at sentence #1390000, processed 24558047 words, keeping 342371 word types
PROGRESS: at sentence #1400000, processed 24724243 words, keeping 343737 word types
PROGRESS: at sentence #1410000, processed 24902419 words, keeping 345275 word types
PROGRESS: at sentence #1420000, processed 25072003 words, keeping 346803 word types
PROGRESS: at sentence #1430000, processed 25231798 words, keeping 348080 word types
PROGRESS: at sentence #1440000, processed 25407200 words, keeping 349424 word types
PROGRESS: at sentence #1450000, processed 25575184 words, keeping 350803 word types
PROGRESS: at sentence #1460000, processed 25753659 words, keeping 352307 word types
PROGRESS: at sentence #1470000, processed 25933492 words, keeping 353580 word types
PROGRESS: at sentence #1480000, processed 26109467 words, keeping 354829 word types
PROGRESS: at sentence #1490000, processed 26276237 words, keeping 356087 word types
PROGRESS: at sentence #1500000, processed 26444828 words, keeping 357533 word types
PROGRESS: at sentence #1510000, processed 26627232 words, keeping 358915 word types
PROGRESS: at sentence #1520000, processed 26789592 words, keeping 360084 word types
PROGRESS: at sentence #1530000, processed 26968376 words, keeping 361297 word types
PROGRESS: at sentence #1540000, processed 27143179 words, keeping 362636 word types
PROGRESS: at sentence #1550000, processed 27318097 words, keeping 364005 word types
PROGRESS: at sentence #1560000, processed 27509735 words, keeping 365303 word types
PROGRESS: at sentence #1570000, processed 27683978 words, keeping 366521 word types
PROGRESS: at sentence #1580000, processed 27872466 words, keeping 367908 word types
PROGRESS: at sentence #1590000, processed 28067991 words, keeping 369176 word types
PROGRESS: at sentence #1600000, processed 28249557 words, keeping 370746 word types
PROGRESS: at sentence #1610000, processed 28415045 words, keeping 372203 word types
PROGRESS: at sentence #1620000, processed 28585010 words, keeping 374424 word types
PROGRESS: at sentence #1630000, processed 28758950 words, keeping 375787 word types
PROGRESS: at sentence #1640000, processed 28928501 words, keeping 377115 word types
PROGRESS: at sentence #1650000, processed 29114855 words, keeping 378590 word types
PROGRESS: at sentence #1660000, processed 29289281 words, keeping 379923 word types
PROGRESS: at sentence #1670000, processed 29464804 words, keeping 381265 word types
PROGRESS: at sentence #1680000, processed 29634630 words, keeping 382709 word types
PROGRESS: at sentence #1690000, processed 29807475 words, keeping 383796 word types
PROGRESS: at sentence #1700000, processed 29995075 words, keeping 387684 word types
PROGRESS: at sentence #1710000, processed 30165955 words, keeping 389019 word types
PROGRESS: at sentence #1720000, processed 30342184 words, keeping 390242 word types
PROGRESS: at sentence #1730000, processed 30512845 words, keeping 391361 word types
PROGRESS: at sentence #1740000, processed 30683493 words, keeping 392672 word types
PROGRESS: at sentence #1750000, processed 30853822 words, keeping 393948 word types
PROGRESS: at sentence #1760000, processed 31025574 words, keeping 395534 word types
PROGRESS: at sentence #1770000, processed 31198370 words, keeping 396839 word types
PROGRESS: at sentence #1780000, processed 31370241 words, keeping 398041 word types
PROGRESS: at sentence #1790000, processed 31542621 words, keeping 399202 word types
PROGRESS: at sentence #1800000, processed 31718088 words, keeping 404667 word types
PROGRESS: at sentence #1810000, processed 31891397 words, keeping 405999 word types
PROGRESS: at sentence #1820000, processed 32069645 words, keeping 407473 word types
PROGRESS: at sentence #1830000, processed 32241168 words, keeping 408741 word types
PROGRESS: at sentence #1840000, processed 32409572 words, keeping 409900 word types
PROGRESS: at sentence #1850000, processed 32573434 words, keeping 411137 word types
PROGRESS: at sentence #1860000, processed 32736436 words, keeping 412501 word types
PROGRESS: at sentence #1870000, processed 32914216 words, keeping 413533 word types
PROGRESS: at sentence #1880000, processed 33078731 words, keeping 414971 word types
PROGRESS: at sentence #1890000, processed 33257338 words, keeping 416111 word types
PROGRESS: at sentence #1900000, processed 33438240 words, keeping 417442 word types
PROGRESS: at sentence #1910000, processed 33606396 words, keeping 418545 word types
PROGRESS: at sentence #1920000, processed 33791005 words, keeping 419921 word types
PROGRESS: at sentence #1930000, processed 33973695 words, keeping 422509 word types
PROGRESS: at sentence #1940000, processed 34156790 words, keeping 425031 word types
PROGRESS: at sentence #1950000, processed 34344177 words, keeping 426369 word types
PROGRESS: at sentence #1960000, processed 34519580 words, keeping 427452 word types
PROGRESS: at sentence #1970000, processed 34692084 words, keeping 428671 word types
PROGRESS: at sentence #1980000, processed 34874360 words, keeping 429957 word types
PROGRESS: at sentence #1990000, processed 35047271 words, keeping 431058 word types
PROGRESS: at sentence #2000000, processed 35224478 words, keeping 432233 word types
PROGRESS: at sentence #2010000, processed 35396953 words, keeping 433298 word types
PROGRESS: at sentence #2020000, processed 35586882 words, keeping 434626 word types
PROGRESS: at sentence #2030000, processed 35776082 words, keeping 436205 word types
PROGRESS: at sentence #2040000, processed 35947233 words, keeping 437387 word types
PROGRESS: at sentence #2050000, processed 36132584 words, keeping 439457 word types
PROGRESS: at sentence #2060000, processed 36304038 words, keeping 440529 word types
PROGRESS: at sentence #2070000, processed 36481685 words, keeping 441683 word types
PROGRESS: at sentence #2080000, processed 36662744 words, keeping 442962 word types
PROGRESS: at sentence #2090000, processed 36839555 words, keeping 444130 word types
PROGRESS: at sentence #2100000, processed 37013575 words, keeping 445533 word types
PROGRESS: at sentence #2110000, processed 37180213 words, keeping 446589 word types
PROGRESS: at sentence #2120000, processed 37362711 words, keeping 447983 word types
PROGRESS: at sentence #2130000, processed 37534551 words, keeping 449263 word types
PROGRESS: at sentence #2140000, processed 37703531 words, keeping 450660 word types
PROGRESS: at sentence #2150000, processed 37871019 words, keeping 451892 word types
PROGRESS: at sentence #2160000, processed 38035453 words, keeping 452972 word types
PROGRESS: at sentence #2170000, processed 38227796 words, keeping 454230 word types
PROGRESS: at sentence #2180000, processed 38399501 words, keeping 455427 word types
PROGRESS: at sentence #2190000, processed 38586101 words, keeping 456612 word types
PROGRESS: at sentence #2200000, processed 38760313 words, keeping 457766 word types
PROGRESS: at sentence #2210000, processed 38938428 words, keeping 458925 word types
PROGRESS: at sentence #2220000, processed 39134497 words, keeping 460307 word types
PROGRESS: at sentence #2230000, processed 39309267 words, keeping 461416 word types
PROGRESS: at sentence #2240000, processed 39489955 words, keeping 462614 word types
PROGRESS: at sentence #2250000, processed 39673092 words, keeping 464102 word types
PROGRESS: at sentence #2260000, processed 39844051 words, keeping 465196 word types
PROGRESS: at sentence #2270000, processed 40010658 words, keeping 466183 word types
collected 466585 word types from a corpus of 40082031 raw words and 2274338 sentences
Loading a fresh vocabulary
min_count=5 retains 104443 unique words (22% of original 466585, drops 362142)
min_count=5 leaves 39546444 word corpus (98% of original 40082031, drops 535587)
deleting the raw counts dictionary of 466585 items
sample=0.001 downsamples 22 most-common words
downsampling leaves estimated 38544243 word corpus (97.5% of prior 39546444)
estimated required memory for 104443 words and 300 dimensions: 302884700 bytes
resetting layer weights
training model with 64 workers on 104443 vocabulary and 300 features, using sg=0 hs=0 sample=0.001 negative=5 window=5
PROGRESS: at 0.24% examples, 461514 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 0.65% examples, 610832 words/s, in_qsize 126, out_qsize 1
PROGRESS: at 1.05% examples, 658673 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 1.41% examples, 661451 words/s, in_qsize 124, out_qsize 3
PROGRESS: at 1.82% examples, 683703 words/s, in_qsize 128, out_qsize 1
PROGRESS: at 2.23% examples, 698687 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 2.56% examples, 690236 words/s, in_qsize 126, out_qsize 1
PROGRESS: at 2.99% examples, 703553 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 3.34% examples, 700090 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 3.74% examples, 707885 words/s, in_qsize 128, out_qsize 1
PROGRESS: at 4.12% examples, 706768 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 4.51% examples, 711754 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 4.90% examples, 714507 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 5.27% examples, 710801 words/s, in_qsize 126, out_qsize 1
PROGRESS: at 5.65% examples, 711522 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 6.00% examples, 710704 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 6.39% examples, 712612 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 6.78% examples, 713986 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 7.16% examples, 714407 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 7.53% examples, 714717 words/s, in_qsize 128, out_qsize 1
PROGRESS: at 7.90% examples, 712849 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 8.30% examples, 713354 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 8.64% examples, 710227 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 9.02% examples, 710503 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 9.42% examples, 712257 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 9.76% examples, 709959 words/s, in_qsize 126, out_qsize 1
PROGRESS: at 10.17% examples, 710754 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 10.53% examples, 709246 words/s, in_qsize 126, out_qsize 1
PROGRESS: at 10.90% examples, 708739 words/s, in_qsize 128, out_qsize 2
PROGRESS: at 11.29% examples, 708895 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 11.62% examples, 708861 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 12.02% examples, 709373 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 12.36% examples, 707940 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 12.74% examples, 707423 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 13.13% examples, 707472 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 13.48% examples, 706900 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 13.82% examples, 705783 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 14.21% examples, 707188 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 14.57% examples, 705764 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 14.92% examples, 705325 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 15.30% examples, 705489 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 15.63% examples, 703486 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 16.01% examples, 703514 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 16.42% examples, 704534 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 16.78% examples, 703452 words/s, in_qsize 128, out_qsize 1
PROGRESS: at 17.12% examples, 702740 words/s, in_qsize 127, out_qsize 1
PROGRESS: at 17.49% examples, 702598 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 17.84% examples, 702513 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 18.16% examples, 701035 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 18.54% examples, 701512 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 18.92% examples, 701495 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 19.25% examples, 700251 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 19.61% examples, 700059 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 19.96% examples, 699439 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 20.36% examples, 700469 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 20.72% examples, 700442 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 21.08% examples, 700248 words/s, in_qsize 128, out_qsize 3
PROGRESS: at 21.47% examples, 701050 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 21.81% examples, 700027 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 22.19% examples, 699657 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 22.56% examples, 699926 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 22.93% examples, 699836 words/s, in_qsize 126, out_qsize 1
PROGRESS: at 23.27% examples, 698964 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 23.63% examples, 698903 words/s, in_qsize 128, out_qsize 1
PROGRESS: at 24.03% examples, 699892 words/s, in_qsize 128, out_qsize 1
PROGRESS: at 24.37% examples, 698742 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 24.71% examples, 698304 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 25.06% examples, 698100 words/s, in_qsize 128, out_qsize 1
PROGRESS: at 25.46% examples, 698381 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 25.86% examples, 699176 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 26.19% examples, 698110 words/s, in_qsize 127, out_qsize 1
PROGRESS: at 26.57% examples, 698273 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 26.91% examples, 697333 words/s, in_qsize 126, out_qsize 1
PROGRESS: at 27.27% examples, 697342 words/s, in_qsize 126, out_qsize 1
PROGRESS: at 27.65% examples, 697813 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 28.02% examples, 697617 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 28.34% examples, 696448 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 28.72% examples, 696887 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 29.08% examples, 696842 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 29.43% examples, 696238 words/s, in_qsize 126, out_qsize 1
PROGRESS: at 29.78% examples, 696020 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 30.15% examples, 695397 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 30.54% examples, 695659 words/s, in_qsize 126, out_qsize 1
PROGRESS: at 30.89% examples, 695515 words/s, in_qsize 126, out_qsize 1
PROGRESS: at 31.26% examples, 695400 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 31.61% examples, 695509 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 31.97% examples, 695106 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 32.35% examples, 695170 words/s, in_qsize 125, out_qsize 2
PROGRESS: at 32.74% examples, 695381 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 33.10% examples, 695365 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 33.43% examples, 694142 words/s, in_qsize 127, out_qsize 1
PROGRESS: at 33.82% examples, 694750 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 34.13% examples, 693834 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 34.53% examples, 694574 words/s, in_qsize 126, out_qsize 1
PROGRESS: at 34.86% examples, 693696 words/s, in_qsize 126, out_qsize 1
PROGRESS: at 35.24% examples, 694154 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 35.57% examples, 693331 words/s, in_qsize 124, out_qsize 3
PROGRESS: at 35.94% examples, 692972 words/s, in_qsize 126, out_qsize 1
PROGRESS: at 36.34% examples, 693089 words/s, in_qsize 126, out_qsize 1
PROGRESS: at 36.73% examples, 693343 words/s, in_qsize 125, out_qsize 2
PROGRESS: at 37.06% examples, 692700 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 37.43% examples, 693053 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 37.78% examples, 692717 words/s, in_qsize 128, out_qsize 1
PROGRESS: at 38.08% examples, 691823 words/s, in_qsize 125, out_qsize 3
PROGRESS: at 38.44% examples, 691699 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 38.79% examples, 691542 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 39.17% examples, 691568 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 39.48% examples, 690834 words/s, in_qsize 124, out_qsize 3
PROGRESS: at 39.83% examples, 690825 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 40.20% examples, 690786 words/s, in_qsize 128, out_qsize 5
PROGRESS: at 40.59% examples, 690980 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 40.97% examples, 691040 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 41.33% examples, 691032 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 41.69% examples, 690789 words/s, in_qsize 124, out_qsize 3
PROGRESS: at 42.05% examples, 690795 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 42.41% examples, 690690 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 42.77% examples, 690603 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 43.11% examples, 690104 words/s, in_qsize 126, out_qsize 2
PROGRESS: at 43.48% examples, 690454 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 43.79% examples, 689827 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 44.16% examples, 689754 words/s, in_qsize 126, out_qsize 2
PROGRESS: at 44.50% examples, 689393 words/s, in_qsize 125, out_qsize 2
PROGRESS: at 44.84% examples, 689162 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 45.23% examples, 689569 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 45.56% examples, 689074 words/s, in_qsize 125, out_qsize 3
PROGRESS: at 45.94% examples, 689154 words/s, in_qsize 126, out_qsize 2
PROGRESS: at 46.28% examples, 689156 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 46.63% examples, 688759 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 46.99% examples, 688763 words/s, in_qsize 124, out_qsize 3
PROGRESS: at 47.31% examples, 688334 words/s, in_qsize 126, out_qsize 1
PROGRESS: at 47.65% examples, 687884 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 48.03% examples, 687869 words/s, in_qsize 127, out_qsize 1
PROGRESS: at 48.41% examples, 688295 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 48.71% examples, 687504 words/s, in_qsize 127, out_qsize 1
PROGRESS: at 49.09% examples, 687731 words/s, in_qsize 125, out_qsize 2
PROGRESS: at 49.45% examples, 687661 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 49.79% examples, 687235 words/s, in_qsize 126, out_qsize 1
PROGRESS: at 50.18% examples, 686904 words/s, in_qsize 128, out_qsize 2
PROGRESS: at 50.55% examples, 687033 words/s, in_qsize 128, out_qsize 3
PROGRESS: at 50.88% examples, 686745 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 51.25% examples, 686776 words/s, in_qsize 128, out_qsize 0
PROGRESS: at 51.58% examples, 686811 words/s, in_qsize 126, out_qsize 1
PROGRESS: at 51.95% examples, 686609 words/s, in_qsize 126, out_qsize 1
PROGRESS: at 52.32% examples, 686491 words/s, in_qsize 127, out_qsize 0
PROGRESS: at 52.68% examples, 686348 words/s, in_qsize 128, out_qsize 2
